id,parent_id,name,description,type,plan_year,group,division,start_date,end_date,ee_premium,ef_premium,es_premium,ec_premium,carrier,overall_limit,overall_limit_unit,service,reimbursement,limit,limit_unit,preexisting_conditions_limitation,months_pre_coverage,months_post_coverage
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,open fracture reduction,10000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,closed fracture reduction,5000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,open dislocation reduction,8000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,closed dislocation reduction,4000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,3rd degree burn (10-20 sq-in),3750,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,3rd degree burn (20-35 sq-in),7500,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,2nd degree burn (>35 sq-in),1500,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,3rd degree burn (>35 sq-in),15000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,skin graft (10-20 sq-in),225,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,skin graft (20-35 sq-in),375,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,skin graft (>35 sq-in),750,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,concussion,200,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,coma,15000,,,TRUE,12,12
