id,parent_id,name,description,type,plan_year,group,division,start_date,end_date,ee_premium,ef_premium,es_premium,ec_premium,carrier,claim_type,in_network_ee_deductible,in_network_ef_deductible,in_network_ee_oop_max,in_network_ef_oop_max,in_network_coinsurance,out_network_ee_deductible,out_network_ef_deductible,out_network_ee_oop_max,out_network_ef_oop_max,out_network_coinsurance,large_network,small_charges,general_info,appeal_info
A1025,A1025,PPO Gold,,basic,2019,acme,corporate,1/1/19,12/31/19,659.97,887.04,752.13,710.82,United Healthcare,MED|RX,1200,2400,3600,7200,20,2000,4000,7200,1440,30,FALSE,FALSE,,
B1122,B1122,HDHP Choice Bronze,,basic,2019,acme,corporate,1/1/19,12/31/19,360,495,432,396,United Healthcare,MED|RX,2000,4000,4800,9600,20,3600,7200,6400,12800,30,FALSE,FALSE,,
BG552,BG552,HDHP Choice Silver,,basic,2019,acme,corporate,1/1/19,12/31/19,469.8,5499.9,530.1,511.2,United Healthcare,MED|RX,1600,3200,4400,8800,20,3200,6400,7200,14400,30,FALSE,FALSE,,
AT521,AT521,HDHP Choice Gold,,basic,2019,acme,corporate,1/1/19,12/31/19,580.5,674.1,625.5,615.6,United Healthcare,MED|RX,1400,2800,4000,8000,20,2800,5600,8000,16000,30,FALSE,FALSE,,
001B,001B,Blue Gold,,basic,2019,acme,part-time,1/1/19,12/31/19,380.7,495,459.45,428.04,Blue Cross TN,MED|RX,800,1600,1600,3200,20,1600,3200,3200,6400,30,FALSE,FALSE,,
001C,001C,Blue Silver,,basic,2019,acme,part-time,1/1/19,12/31/19,304.56,396,367.56,342.432,Blue Cross TN,MED|RX,1600,3200,3200,6400,20,3200,3200,6400,12800,30,FALSE,FALSE,,
0220D,0220D,Blue Bronze,,basic,2019,acme,part-time,1/1/19,12/31/19,243.648,316.8,294.048,273.942,Blue Cross TN,MED|RX,2400,4800,4800,9600,20,4800,9600,9600,19200,30,FALSE,FALSE,,
A1250,A1250,PPO Gold,United Health Care - PPO Gold,basic,2020,acme,corporate,1/1/20,12/31/20,733.3,985.6,835.7,789.8,United Healthcare,MED|RX,1500,3000,4500,9000,20,2500,5000,9000,1800,30,TRUE,TRUE,,
A4967,A4967,HDHP Choice Bronze,United Health Care - HDHP Choice Bronze,basic,2020,acme,corporate,1/1/20,12/31/20,400,550,480,440,United Healthcare,MED|RX,2500,5000,6000,12000,20,4500,9000,8000,16000,30,FALSE,FALSE,,
A4968,A4968,HDHP Choice Silver,United Health Care - HDHP Choice Silver,basic,2020,acme,corporate,1/1/20,12/31/20,522,6111,589,568,United Healthcare,MED|RX,2000,4000,5500,11000,20,4000,8000,9000,18000,30,TRUE,FALSE,,
A4969,A4969,HDHP Choice Gold,United Health Care - HDHP Choice Gold,basic,2020,acme,corporate,1/1/20,12/31/20,645,749,695,684,United Healthcare,MED|RX,1750,3500,5000,10000,20,3500,7000,10000,20000,30,TRUE,FALSE,,
A4970,A4970,Blue Gold,Blue Cross TN - Blue Gold,basic,2020,acme,part-time,1/1/20,12/31/20,423,550,510.5,475.6,Blue Cross TN,MED|RX,1000,2000,2000,4000,20,2000,4000,4000,8000,30,TRUE,TRUE,,
A4971,A4971,Blue Silver,Blue Cross TN - Blue Silver,basic,2020,acme,part-time,1/1/20,12/31/20,338.4,440,408.4,380.48,Blue Cross TN,MED|RX,2000,4000,4000,8000,20,4000,4000,8000,16000,30,TRUE,FALSE,,
A4972,A4972,Blue Bronze,Blue Cross TN - Blue Bronze,basic,2020,acme,part-time,1/1/20,12/31/20,270.72,352,326.72,304.38,Blue Cross TN,MED|RX,3000,6000,6000,12000,20,6000,12000,12000,24000,30,FALSE,FALSE,,
