id,parent_id,name,description,type,plan_year,group,division,start_date,end_date,reimbursement,covered,tobacco,premium_18_24,premium_25_29,premium_30_34,premium_35_39,premium_40_44,premium_45_49,premium_50_54,premium_55_59,premium_60_64,premium_65_69,carrier,conditions,preexisting_conditions_limitation,months_pre_coverage,months_post_coverage,days_waiting_period
CI1035,CI1035,Aflac Bronze,Alflac Critical Illness Benefit (Bronze),critical_illness,2020,acme,corporate,1/1/20,12/31/20,10000,subscriber,FALSE,3.6,3.6,5.15,5.15,8.65,8.65,14.22,14.22,21.75,21.75,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1035,CI1035,Aflac Bronze,Alflac Critical Illness Benefit (Bronze),critical_illness,2020,acme,corporate,1/1/20,12/31/20,10000,subscriber,TRUE,5.4,5.4,7.73,7.73,12.98,12.98,21.33,21.33,32.63,32.63,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1035,CI1035,Aflac Bronze,Alflac Critical Illness Benefit (Bronze),critical_illness,2020,acme,corporate,1/1/20,12/31/20,5000,spouse,FALSE,3.6,3.6,5.15,5.15,8.65,8.65,14.22,14.22,21.75,21.75,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1035,CI1035,Aflac Bronze,Alflac Critical Illness Benefit (Bronze),critical_illness,2020,acme,corporate,1/1/20,12/31/20,5000,spouse,TRUE,5.4,5.4,7.73,7.73,12.98,12.98,21.33,21.33,32.63,32.63,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1036,CI1036,Aflac Siler,Alflac Critical Illness Benefit (Silver),critical_illness,2020,acme,corporate,1/1/20,12/31/20,25000,subscriber,FALSE,11,11,18.75,18.75,36.25,36.25,64.08,64.08,101.75,101.75,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1036,CI1036,Aflac Siler,Alflac Critical Illness Benefit (Silver),critical_illness,2020,acme,corporate,1/1/20,12/31/20,25000,subscriber,TRUE,16.5,16.5,28.13,28.13,54.38,54.38,96.12,96.12,152.63,152.63,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1036,CI1036,Aflac Siler,Alflac Critical Illness Benefit (Silver),critical_illness,2020,acme,corporate,1/1/20,12/31/20,10000,spouse,FALSE,11,11,18.75,18.75,36.25,36.25,64.08,64.08,101.75,101.75,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1036,CI1036,Aflac Siler,Alflac Critical Illness Benefit (Silver),critical_illness,2020,acme,corporate,1/1/20,12/31/20,10000,spouse,TRUE,16.5,16.5,28.13,28.13,54.38,54.38,96.12,96.12,152.63,152.63,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1037,CI1037,Aflac Gold,Alflac Critical Illness Benefit (Gold),critical_illness,2020,acme,corporate,1/1/20,12/31/20,50000,subscriber,FALSE,20.25,20.25,35.75,35.75,70.75,70.75,126.42,126.42,201.75,201.75,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1037,CI1037,Aflac Gold,Alflac Critical Illness Benefit (Gold),critical_illness,2020,acme,corporate,1/1/20,12/31/20,50000,subscriber,TRUE,30.38,30.38,53.63,53.63,106.13,106.13,189.63,189.63,302.63,302.63,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1037,CI1037,Aflac Gold,Alflac Critical Illness Benefit (Gold),critical_illness,2020,acme,corporate,1/1/20,12/31/20,20000,spouse,FALSE,20.25,20.25,35.75,35.75,70.75,70.75,126.42,126.42,201.75,201.75,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
CI1037,CI1037,Aflac Gold,Alflac Critical Illness Benefit (Gold),critical_illness,2020,acme,corporate,1/1/20,12/31/20,20000,spouse,TRUE,30.38,30.38,53.63,53.63,106.13,106.13,189.63,189.63,302.63,302.63,Aflac,heart attack|blindness|kidney failure|coronary artery bypass surgery|benign brain tumor|stroke|coma|paralysis|cancer,TRUE,12,12,30
